Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
540205.0,BSE,Aditya Vision Limited,AVL,Aditya Vision Ltd,Active,B ,10.0,INE679V01019,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,,,,,,,
